id	lfp_change
13025	-0.042
13027	-0.042
13029	-0.042
13031	-0.042
13033	-0.042
13035	-0.042
13037	-0.042
13039	-0.042
13043	-0.042
13045	-0.042
13047	-0.042
13049	-0.042
13051	-0.042
13053	-0.042
13055	-0.042
13057	-0.042
13059	-0.042
13061	-0.042
13063	-0.042
13065	-0.042
13067	-0.042
13069	-0.042
13071	-0.042
13073	-0.042
13075	-0.042
13077	-0.042
13079	-0.042
13081	-0.042
13083	-0.042
13085	-0.042
13087	-0.042
13089	-0.042
13091	-0.042
13093	-0.042
13095	-0.042
13097	-0.042
13099	-0.042
13101	-0.042
13103	-0.042
13105	-0.042
13107	-0.042
13109	-0.042
13111	-0.042
13113	-0.042
13115	-0.042
13117	-0.042
13119	-0.042
13121	-0.042
13123	-0.042
13125	-0.042
13127	-0.042
13129	-0.042
13131	-0.042
13133	-0.042
13135	-0.042
13137	-0.042
13139	-0.042
13141	-0.042
13143	-0.042
13145	-0.042
13147	-0.042
13149	-0.042
13151	-0.042
13153	-0.042
13155	-0.042
13157	-0.042
13159	-0.042
13161	-0.042
13163	-0.042
13165	-0.042
13167	-0.042
13169	-0.042
13171	-0.042
13173	-0.042
13175	-0.042
13177	-0.042
13179	-0.042
13181	-0.042
13183	-0.042
13185	-0.042
13187	-0.042
13189	-0.042
13191	-0.042
13193	-0.042
13195	-0.042
13197	-0.042
13199	-0.042
13201	-0.042
13205	-0.042
13207	-0.042
13209	-0.042
13211	-0.042
13213	-0.042
13215	-0.042
13217	-0.042
13219	-0.042
13221	-0.042
13223	-0.042
13225	-0.042
13227	-0.042
13229	-0.042
13231	-0.042
13233	-0.042
13235	-0.042
13237	-0.042
13239	-0.042
13241	-0.042
13243	-0.042
13245	-0.042
13247	-0.042
13249	-0.042
13251	-0.042
13253	-0.042
13255	-0.042
13257	-0.042
13259	-0.042
13261	-0.042
13263	-0.042
13265	-0.042
13267	-0.042
13269	-0.042
13271	-0.042
13273	-0.042
13275	-0.042
13277	-0.042
13279	-0.042
13281	-0.042
13283	-0.042
13285	-0.042
13287	-0.042
13289	-0.042
13291	-0.042
13293	-0.042
13295	-0.042
13297	-0.042
13299	-0.042
13301	-0.042
13303	-0.042
13305	-0.042
13307	-0.042
13309	-0.042
13311	-0.042
13313	-0.042
13315	-0.042
13317	-0.042
13319	-0.042
13321	-0.042
15001	-0.039
15003	-0.039
15005	-0.039
15007	-0.039
15009	-0.039
16001	-0.039
16003	-0.039
16005	-0.039
16007	-0.039
16009	-0.039
16011	-0.039
16013	-0.039
16015	-0.039
16017	-0.039
16019	-0.039
16021	-0.039
16023	-0.039
16025	-0.039
16027	-0.039
16029	-0.039
16031	-0.039
16033	-0.039
16035	-0.039
16037	-0.039
16039	-0.039
16041	-0.039
16043	-0.039
16045	-0.039
16047	-0.039
16049	-0.039
16051	-0.039
16053	-0.039
16055	-0.039
16057	-0.039
16059	-0.039
16061	-0.039
16063	-0.039
16065	-0.039
16067	-0.039
16069	-0.039
16071	-0.039
16073	-0.039
16075	-0.039
16077	-0.039
16079	-0.039
16081	-0.039
16083	-0.039
16085	-0.039
16087	-0.039
17001	-0.020
17003	-0.020
17005	-0.020
17007	-0.020
17009	-0.020
17011	-0.020
17013	-0.020
17015	-0.020
17017	-0.020
17019	-0.020
17021	-0.020
17023	-0.020
17025	-0.020
17027	-0.020
17029	-0.020
17031	-0.020
17033	-0.020
17035	-0.020
17037	-0.020
17039	-0.020
17041	-0.020
17043	-0.020
17045	-0.020
17047	-0.020
17049	-0.020
17051	-0.020
17053	-0.020
17055	-0.020
17057	-0.020
17059	-0.020
17061	-0.020
17063	-0.020
17065	-0.020
17067	-0.020
